variantId,parentFixtureId,split,dataMode,strategy,selectionStatus,candidateSetSignature,candidateCount,selectedCandidateId,actionKinds,feasibility,hardConstraintViolation,baselineMinimumBudget,candidateMinimumBudget,safetyGain,breachOutcome,etaDeltaMinutes,stopCountImbalance,recipientMinimumBudget,recommendationScore,reasonCodes
frozen-scenario-rain-hill-longshift-v1-incident-factor-plus-005-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,a298181f,5,candidate-4f5efc7f,TRANSFER_STOPS,INFEASIBLE,true,29.857789,41.787875,11.930086,AVOIDED,-25,1,44.986094,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
frozen-scenario-rain-hill-longshift-v1-incident-factor-plus-005-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,a298181f,5,candidate-724045f3,TRANSFER_STOPS,FEASIBLE,false,29.857789,35.753169,5.89538,AVOIDED,-13,9,49.00915,-0.518158,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-self-check-missing-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,0a18d0eb,5,candidate-5752c840,TRANSFER_STOPS,INFEASIBLE,true,31.526456,48.215764,16.689308,UNCHANGED,-37,7,40.566386,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
frozen-scenario-rain-hill-longshift-v1-self-check-missing-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,0a18d0eb,5,candidate-eac18dd8,TRANSFER_STOPS,FEASIBLE,false,31.526456,42.654875,11.128419,UNCHANGED,-25,1,45.012761,1.854244,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-self-check-missing-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,0a18d0eb,5,candidate-d3f8326e,REST|TRANSFER_STOPS,FEASIBLE,false,31.526456,48.023417,16.496961,UNCHANGED,-15,1,45.012761,8.801814,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-shift-plus-30m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,41313bd0,5,candidate-250a33b9,SAFE_DELAY,FEASIBLE,false,29.9348,33.688225,3.753425,AVOIDED,9,7,,-0.994292,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-shift-plus-30m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,41313bd0,5,candidate-250a33b9,SAFE_DELAY,FEASIBLE,false,29.9348,33.688225,3.753425,AVOIDED,9,7,,-0.994292,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-shift-plus-30m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,41313bd0,5,candidate-a7adf9f7,REST|SAFE_DELAY,FEASIBLE,false,29.9348,38.641767,8.706967,AVOIDED,10,7,,5.011612,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-shift-plus-60m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,635bf838,5,candidate-fa2739a8,SAFE_DELAY,FEASIBLE,false,29.926719,33.513225,3.586506,AVOIDED,9,7,,-1.27249,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-shift-plus-60m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,635bf838,5,candidate-fa2739a8,SAFE_DELAY,FEASIBLE,false,29.926719,33.513225,3.586506,AVOIDED,9,7,,-1.27249,CONSENT_REQUIRED_BEFORE_APPLY
